id,subject,emoji
physics.hist-ph,History and Philosophy of Physics,⚛
physics.ins-det,Instrumentation and Detectors,⚛
physics.med-ph,Medical Physics,⚛
physics.optics,Optics,⚛
physics.plasm-ph,Plasma Physics,⚛
physics.pop-ph,Popular Physics,⚛
physics.soc-ph,Physics and Society,⚛
physics.space-ph,Space Physics,⚛
q-bio.BM,Biomolecules,🔬
q-bio.CB,Cell Behavior,🔬
q-bio.GN,Genomics,🔬
q-bio.MN,Molecular Networks,🔬
q-bio.NC,Neurons and Cognition,🔬
q-bio.OT,Other Quantitative Biology,🔬
q-bio.PE,Populations and Evolution,🔬
q-bio.QM,Quantitative Methods,🔬
q-bio.SC,Subcellular Processes,🔬
q-bio.TO,Tissues and Organs,🔬
q-fin.CP,Computational Finance,💵
q-fin.EC,Economics,💵
q-fin.GN,General Finance,💵
q-fin.MF,Mathematical Finance,💵
q-fin.PM,Portfolio Management,💵
q-fin.PR,Pricing of Securities,💵
q-fin.RM,Risk Management,💵
q-fin.ST,Statistical Finance,💵
q-fin.TR,Trading and Market Microstructure,💵
quant-ph,Quantum Physics,⚛
stat.AP,Applications,🤖
stat.CO,Computation,🤖
stat.ME,Methodology,🤖
stat.ML,Machine Learning,🤖
stat.OT,Other Statistics,🤖
stat.TH,Statistics Theory,🤖
